지역명,규모구분,연도,월,분양가격(제곱미터)
충남,전용면적 60제곱미터이하,2015,12,2438
충남,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2279
충남,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2523
충남,전용면적 102제곱미터초과,2015,12,2444
전북,모든면적,2015,12,1983
전북,전용면적 60제곱미터이하,2015,12,1925
전북,전용면적 60제곱미터초과 85제곱미터이하,2015,12,1987
전북,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2377
전북,전용면적 102제곱미터초과,2015,12,2282
전남,모든면적,2015,12,1909
전남,전용면적 60제곱미터이하,2015,12,1999
전남,전용면적 60제곱미터초과 85제곱미터이하,2015,12,1906
전남,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2262
전남,전용면적 102제곱미터초과,2015,12,2176
경북,모든면적,2015,12,2181
경북,전용면적 60제곱미터이하,2015,12,2178
경북,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2184
경북,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2516
경북,전용면적 102제곱미터초과,2015,12,2370
경남,모든면적,2015,12,2307
경남,전용면적 60제곱미터이하,2015,12,2280
경남,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2329
경남,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2934
경남,전용면적 102제곱미터초과,2015,12,3019
제주,모든면적,2015,12,2268
제주,전용면적 60제곱미터이하,2015,12,  
제주,전용면적 60제곱미터초과 85제곱미터이하,2015,12,2260
제주,전용면적 85제곱미터초과 102제곱미터이하,2015,12,2583
제주,전용면적 102제곱미터초과,2015,12,2574
서울,모든면적,2016,01,6108
서울,전용면적 60제곱미터이하,2016,01,6427
서울,전용면적 60제곱미터초과 85제곱미터이하,2016,01,6036
서울,전용면적 85제곱미터초과 102제곱미터이하,2016,01,6513
서울,전용면적 102제곱미터초과,2016,01,6551
인천,모든면적,2016,01,3191
인천,전용면적 60제곱미터이하,2016,01,3328
인천,전용면적 60제곱미터초과 85제곱미터이하,2016,01,3110
인천,전용면적 85제곱미터초과 102제곱미터이하,2016,01,3545
인천,전용면적 102제곱미터초과,2016,01,3408
